Taxon	AB1	CD2	EF3	GH4
d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfatiglandales; f__Desulfatiglandaceae; g__Desulfatiglans; s__uncultured_Desulfobacterium	0	65	0	0
d__Bacteria; p__Desulfobacterota; c__Desulfobaccia; o__Desulfobaccales; f__Desulfobaccaceae; g__Desulfobacca; s__delta_proteobacterium	0	0	72	0
d__Bacteria; p__Desulfobacterota; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_delta	0	0	0	63
d__Bacteria; p__Desulfobacterota; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_delta	0	0	4	0
d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium	0	0	109	0
d__Bacteria; p__Nitrospirota; c__Thermodesulfovibrionia; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium	0	0	138	0
d__Bacteria; p__Desulfobacterota; c__Desulfobaccia; o__Desulfobaccales; f__Desulfobaccaceae; g__Desulfobacca; s__Desulfobacca_acetoxidans	0	23	0	0
d__Bacteria; p__uncultured; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_bacterium	0	0	5	0
d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__Kryptoniaceae; g__Candidatus_Chrysopegis; s__Candidatus_Chrysopegis	0	254	0	0
d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__Kryptoniaceae	28	0	0	0
d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__Kryptoniaceae	279	0	0	0
d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__Kryptoniaceae; g__Candidatus_Chrysopegis; s__Candidatus_Chrysopegis	0	15	0	0
d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__Kryptoniaceae; g__Candidatus_Chrysopegis; s__Candidatus_Chrysopegis	0	15	0	0
d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__Kryptoniaceae	124	0	0	0
d__Bacteria; p__Bacteroidota; c__Kryptonia; o__Kryptoniales; f__Kryptoniaceae	239	0	0	0
